#APS Storage Ring History, measured on 2013-07-09
#S:SRtimeCP      S:SRcurrentCP
#time, hr       	current, mA     
-18.0167       	102.011        
-18            	102.045        
-17.9833       	102.069        
-17.9667       	102.286        
-17.95         	102.01         
-17.9333       	102.021        
-17.9167       	102.04         
-17.9          	102.056        
-17.8833       	102.292        
-17.8667       	102.012        
-17.85         	102.019        
-17.8333       	102.039        
-17.8167       	102.054        
-17.8          	102.069        
-17.7833       	102.321        
-17.7667       	102.04         
-17.75         	102.007        
-17.7333       	102.014        
-17.7167       	102.032        
-17.7          	102.021        
-17.6833       	102.033        
-17.6667       	102.001        
-17.65         	102.015        
-17.6333       	102.234        
-17.6167       	102.234        
-17.6          	102.274        
-17.5833       	102.001        
-17.5667       	102.012        
-17.55         	102.017        
-17.5333       	102.046        
-17.5167       	102.065        
-17.5          	102.082        
-17.4833       	102.105        
-17.4667       	102.141        
-17.45         	102.169        
-17.4333       	102.196        
-17.4167       	102.215        
-17.4          	102.234        
-17.3833       	102.254        
-17.3667       	102.268        
-17.35         	101.992        
-17.3333       	102.332        
-17.3167       	102.054        
-17.3          	102.083        
-17.2833       	102.123        
-17.2667       	102.148        
-17.25         	102.172        
-17.2333       	102.473        
-17.2167       	102.194        
-17.2          	102.218        
-17.1833       	102.25         
-17.1667       	102.277        
-17.15         	102.002        
-17.1333       	102.289        
-17.1167       	102.01         
-17.1          	102.046        
-17.0833       	102.071        
-17.0667       	102.088        
-17.05         	102.109        
-17.0333       	102.128        
-17.0167       	102.152        
-17            	102.17         
-16.9833       	102.188        
-16.9667       	102.216        
-16.95         	102.235        
-16.9333       	102.054        
-16.9167       	102.085        
-16.9          	102.106        
-16.8833       	102.141        
-16.8667       	102.154        
-16.85         	102.194        
-16.8333       	102.217        
-16.8167       	102.237        
-16.8          	102.257        
-16.7833       	102.291        
-16.7667       	102.016        
-16.75         	102.027        
-16.7333       	102.052        
-16.7167       	102.057        
-16.7          	102.071        
-16.6833       	102.087        
-16.6667       	102.115        
-16.65         	102.135        
-16.6333       	102.16         
-16.6167       	102.186        
-16.6          	102.22         
-16.5833       	102.255        
-16.5667       	102.293        
-16.55         	102.018        
-16.5333       	102.03         
-16.5167       	102.056        
-16.5          	102.086        
-16.4833       	102.125        
-16.4667       	102.147        
-16.45         	102.191        
-16.4333       	102.215        
-16.4167       	102.239        
-16.4          	102.266        
-16.3833       	101.989        
-16.3667       	102.029        
-16.35         	102.06         
-16.3333       	102.099        
-16.3167       	102.136        
-16.3          	101.858        
-16.2833       	101.833        
-16.2667       	101.823        
-16.25         	101.806        
-16.2333       	101.805        
-16.2167       	101.819        
-16.2          	102.028        
-16.1833       	102.038        
-16.1667       	102.058        
-16.15         	102.045        
-16.1333       	102.221        
-16.1167       	102.223        
-16.1          	102.201        
-16.0833       	102.172        
-16.0667       	102.156        
-16.05         	102.379        
-16.0333       	102.091        
-16.0167       	102.078        
-16            	102.086        
-15.9833       	102.068        
-15.9667       	102.249        
-15.95         	102.255        
-15.9333       	102.26         
-15.9167       	102.264        
-15.9          	102.446        
-15.8833       	102.158        
-15.8667       	102.172        
-15.85         	102.182        
-15.8333       	102.186        
-15.8167       	102.354        
-15.8          	102.074        
-15.7833       	102.065        
-15.7667       	102.059        
-15.75         	102.2          
-15.7333       	102.192        
-15.7167       	102.211        
-15.7          	102.365        
-15.6833       	102.081        
-15.6667       	102.095        
-15.65         	102.106        
-15.6333       	102.099        
-15.6167       	102.235        
-15.6          	102.233        
-15.5833       	102.244        
-15.5667       	102.233        
-15.55         	102.414        
-15.5333       	102.129        
-15.5167       	102.126        
-15.5          	102.139        
-15.4833       	102.135        
-15.4667       	102.324        
-15.45         	102.036        
-15.4333       	102.039        
-15.4167       	102.038        
-15.4          	102.198        
-15.3833       	102.183        
-15.3667       	102.186        
-15.35         	102.198        
-15.3333       	102.31         
-15.3167       	102.026        
-15.3          	102.029        
-15.2833       	102.237        
-15.2667       	102.21         
-15.25         	102.227        
-15.2333       	102.231        
-15.2167       	102.224        
-15.2          	102.225        
-15.1833       	102.445        
-15.1667       	102.157        
-15.15         	102.154        
-15.1333       	102.155        
-15.1167       	102.372        
-15.1          	102.085        
-15.0833       	102.1          
-15.0667       	102.126        
-15.05         	102.144        
-15.0333       	102.364        
-15.0167       	102.094        
-15            	102.105        
-14.9833       	102.115        
-14.9667       	102.308        
-14.95         	102.036        
-14.9333       	102.051        
-14.9167       	102.045        
-14.9          	102.055        
-14.8833       	102.076        
-14.8667       	102.292        
-14.85         	102.011        
-14.8333       	102.034        
-14.8167       	102.033        
-14.8          	102.182        
-14.7833       	102.187        
-14.7667       	102.207        
-14.75         	102.228        
-14.7333       	102.229        
-14.7167       	102.439        
-14.7          	102.159        
-14.6833       	102.167        
-14.6667       	102.18         
-14.65         	102.387        
-14.6333       	102.104        
-14.6167       	102.117        
-14.6          	102.114        
-14.5833       	102.304        
-14.5667       	102.034        
-14.55         	102.031        
-14.5333       	102.052        
-14.5167       	102.054        
-14.5          	102.088        
-14.4833       	102.099        
-14.4667       	102.347        
-14.45         	102.073        
-14.4333       	102.093        
-14.4167       	102.123        
-14.4          	102.317        
-14.3833       	102.04         
-14.3667       	102.057        
-14.35         	102.068        
-14.3333       	102.083        
-14.3167       	102.275        
-14.3          	101.994        
-14.2833       	101.998        
-14.2667       	102.009        
-14.25         	102.01         
-14.2333       	102.222        
-14.2167       	102.183        
-14.2          	102.194        
-14.1833       	102.141        
-14.1667       	102.374        
-14.15         	102.1          
-14.1333       	102.117        
-14.1167       	102.15         
-14.1          	102.169        
-14.0833       	102.272        
-14.0667       	101.995        
-14.05         	102.002        
-14.0333       	102.024        
-14.0167       	102.277        
-14            	102            
-13.9833       	102.017        
-13.9667       	102.039        
-13.95         	102.053        
-13.9333       	102.284        
-13.9167       	102.005        
-13.9          	102.023        
-13.8833       	101.979        
-13.8667       	101.994        
-13.85         	102.014        
-13.8333       	102.263        
-13.8167       	101.977        
-13.8          	102.004        
-13.7833       	102.036        
-13.7667       	102.275        
-13.75         	101.991        
-13.7333       	102.017        
-13.7167       	102.024        
-13.7          	102.04         
-13.6833       	102.078        
-13.6667       	102.391        
-13.65         	102.12         
-13.6333       	102.15         
-13.6167       	102.192        
-13.6          	102.228        
-13.5833       	102.514        
-13.5667       	102.235        
-13.55         	102.274        
-13.5333       	101.997        
-13.5167       	102.023        
-13.5          	102.054        
-13.4833       	102.332        
-13.4667       	102.058        
-13.45         	102.086        
-13.4333       	102.117        
-13.4167       	102.139        
-13.4          	102.162        
-13.3833       	102.455        
-13.3667       	102.181        
-13.35         	102.198        
-13.3333       	102.208        
-13.3167       	102.241        
-13.3          	102.265        
-13.2833       	101.995        
-13.2667       	102.269        
-13.25         	101.995        
-13.2333       	102.016        
-13.2167       	102.027        
-13.2          	102.347        
-13.1833       	102.072        
-13.1667       	102.107        
-13.15         	102.122        
-13.1333       	102.151        
-13.1167       	102.18         
-13.1          	102.213        
-13.0833       	102.5          
-13.0667       	102.221        
-13.05         	102.224        
-13.0333       	102.27         
-13.0167       	101.994        
-13            	101.989        
-12.9833       	102.23         
-12.9667       	102.254        
-12.95         	102.211        
-12.9333       	102.22         
-12.9167       	102.247        
-12.9          	102.522        
-12.8833       	102.244        
-12.8667       	102.256        
-12.85         	101.981        
-12.8333       	102.013        
-12.8167       	102.168        
-12.8          	102.163        
-12.7833       	102.164        
-12.7667       	102.183        
-12.75         	102.202        
-12.7333       	102.413        
-12.7167       	102.129        
-12.7          	102.123        
-12.6833       	102.145        
-12.6667       	102.151        
-12.65         	102.277        
-12.6333       	101.991        
-12.6167       	102            
-12.6          	102.265        
-12.5833       	101.978        
-12.5667       	101.991        
-12.55         	101.996        
-12.5333       	101.993        
-12.5167       	102.21         
-12.5          	102.215        
-12.4833       	102.221        
-12.4667       	102.231        
-12.45         	102.211        
-12.4333       	102.394        
-12.4167       	102.108        
-12.4          	102.111        
-12.3833       	102.116        
-12.3667       	102.333        
-12.35         	102.05         
-12.3333       	102.059        
